windowStart,checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore,anomalyTier
2026-03-26T17:59:00+01:00,0.0,0.0,0.0,0.0,1.3844,12.0,17.0,3.0,2.0,7.0,0.0,0.0,41.75,173.95,118.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,WARNING
2026-03-26T18:04:00+01:00,0.9713,0.9985,0.3907,3.41e-06,2.3212,3478.0,18.0,696.0,684.0,739.0,683.0,676.0,51.31,120.6,100.4,153.55,397.89,7e-08,3.4e-07,3.1e-07,4.4e-07,2.25e-06,3466.0,3.41e-06,0,0.0,ALERT
2026-03-26T18:09:00+01:00,0.9862,0.9951,0.3965,8.98e-06,2.3218,9070.0,18.0,1809.0,1821.0,1844.0,1812.0,1784.0,51.06,121.62,101.47,151.64,398.52,1.9e-07,9.2e-07,7.8e-07,1.15e-06,5.94e-06,5592.0,5.570000000000001e-06,0,0.0,ALERT
2026-03-26T18:14:00+01:00,0.9843,0.9882,0.3978,1.295e-05,2.3219,12969.0,18.0,2608.0,2623.0,2579.0,2592.0,2567.0,52.54,123.08,101.91,151.51,399.98,2.9e-07,1.35e-06,1.1e-06,1.64e-06,8.57e-06,3899.0,3.969999999999999e-06,0,0.0,ALERT
2026-03-26T18:19:00+01:00,0.9914,1.0098,0.4015,1.431e-05,2.3219,14370.0,18.0,2908.0,2858.0,2835.0,2886.0,2883.0,51.38,121.83,102.26,152.21,395.06,3.1e-07,1.45e-06,1.21e-06,1.83e-06,9.51e-06,1401.0,1.3600000000000005e-06,0,0.0,ALERT
2026-03-26T18:24:00+01:00,0.9984,0.9608,0.3953,1.54e-05,2.3218,15300.0,18.0,3062.0,3113.0,3077.0,2991.0,3057.0,51.76,121.77,101.31,151.15,403.52,3.3e-07,1.58e-06,1.3e-06,1.89e-06,1.03e-05,930.0,1.0900000000000014e-06,0,0.0,ALERT
2026-03-26T18:29:00+01:00,0.975,1.0067,0.3971,1.44e-05,2.3219,14402.0,18.0,2919.0,2854.0,2910.0,2873.0,2846.0,51.62,119.98,102.36,150.96,404.41,3.1e-07,1.43e-06,1.24e-06,1.81e-06,9.61e-06,-898.0,-1.0000000000000023e-06,0,0.0,ALERT
2026-03-26T18:34:00+01:00,0.9522,0.9818,0.393,1.426e-05,2.3217,14433.0,18.0,2952.0,2914.0,2895.0,2861.0,2811.0,51.86,120.83,101.8,150.44,402.07,3.2e-07,1.47e-06,1.23e-06,1.8e-06,9.44e-06,31.0,-1.3999999999999866e-07,0,0.0,ALERT
2026-03-26T18:39:00+01:00,1.0136,0.9867,0.4002,1.428e-05,2.3219,14104.0,18.0,2786.0,2858.0,2816.0,2820.0,2824.0,50.8,123.07,100.7,150.87,404.95,3e-07,1.47e-06,1.18e-06,1.78e-06,9.55e-06,-329.0,1.999999999999981e-08,0,0.0,ALERT
2026-03-26T18:44:00+01:00,1.0396,0.9899,0.4013,1.447e-05,2.3214,14142.0,18.0,2828.0,2763.0,2876.0,2735.0,2940.0,51.69,122.18,102.11,150.55,399.19,3.1e-07,1.41e-06,1.23e-06,1.72e-06,9.8e-06,38.0,1.8999999999999987e-07,0,0.0,ALERT
