checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore
0.0,0.3333,0.0769,0.0,1.7759,13.0,0.0,3.0,3.0,6.0,1.0,0.0,60.26,158.08,85.44,143.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
0.0,1.0,0.2,0.0,1.9219,15.0,0.0,3.0,3.0,6.0,3.0,0.0,66.25,134.44,97.61,153.51,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.0
0.0,0.5,0.1364,0.0,1.8779,22.0,1.0,4.0,6.0,9.0,3.0,0.0,57.64,115.84,119.15,107.96,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0,0.0
0.0,0.75,0.1111,1e-08,1.6158,27.0,1.0,4.0,4.0,16.0,3.0,0.0,48.66,167.88,100.77,168.21,0.0,0.0,0.0,1e-08,0.0,0.0,5.0,1e-08,0,0.0
0.1667,0.5,0.1212,1e-08,1.8547,33.0,1.0,6.0,6.0,17.0,3.0,1.0,47.63,115.77,96.64,117.52,518.98,0.0,0.0,1e-08,0.0,0.0,6.0,0.0,0,0.0
0.2,0.8333,0.2,0.0,2.0124,30.0,1.0,5.0,6.0,13.0,5.0,1.0,57.18,134.29,89.92,186.53,563.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1e-08,0,0.0
1.0,0.5,0.2857,0.0,2.2359,7.0,1.0,1.0,2.0,2.0,1.0,1.0,50.37,93.09,92.91,211.64,213.68,0.0,0.0,0.0,0.0,0.0,-23.0,0.0,0,0.0
0.25,0.1667,0.087,1e-08,1.8469,23.0,1.0,4.0,6.0,11.0,1.0,1.0,59.52,143.75,114.44,162.07,220.92,0.0,0.0,1e-08,0.0,0.0,16.0,1e-08,0,0.0
0.2,0.6667,0.1471,1e-08,1.8469,34.0,1.0,5.0,6.0,18.0,4.0,1.0,46.98,134.36,93.63,125.45,545.86,0.0,0.0,1e-08,0.0,0.0,11.0,0.0,0,0.0
0.25,0.6,0.1905,0.0,2.0892,21.0,1.0,4.0,5.0,8.0,3.0,1.0,52.84,92.47,115.12,163.96,568.37,0.0,0.0,0.0,0.0,0.0,-13.0,-1e-08,0,0.0
