windowStart,checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore,anomalyTier
2026-03-27T06:11:00+01:00,0.0,0.5,0.125,0.0,1.9056,8.0,6.0,2.0,2.0,3.0,1.0,0.0,70.64,100.22,121.67,111.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,NORMAL
2026-03-27T06:16:00+01:00,2.1667,1.7778,0.4085,6e-08,2.1423,71.0,6.0,6.0,9.0,27.0,16.0,13.0,50.61,105.35,109.1,163.33,411.67,0.0,0.0,1e-08,1e-08,4e-08,63.0,6e-08,0,0.0,WARNING
2026-03-27T06:21:00+01:00,1.875,1.8,0.3976,8e-08,2.1476,83.0,6.0,8.0,10.0,32.0,18.0,15.0,50.31,120.06,107.52,172.76,368.81,0.0,1e-08,1e-08,1e-08,5e-08,12.0,2.0000000000000007e-08,0,0.0,WARNING
2026-03-27T06:26:00+01:00,1.5,1.7143,0.3529,1.1e-07,2.0989,119.0,6.0,12.0,14.0,51.0,24.0,18.0,55.03,134.43,101.46,153.91,380.68,0.0,1e-08,2e-08,2e-08,6e-08,36.0,3.0000000000000004e-08,0,0.0,ALERT
2026-03-27T06:31:00+01:00,1.3333,1.4,0.3458,1e-07,2.1509,107.0,6.0,12.0,15.0,43.0,21.0,16.0,52.68,131.95,94.35,149.2,413.91,0.0,1e-08,2e-08,1e-08,6e-08,-12.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-27T06:36:00+01:00,1.3846,1.9333,0.379,1.1e-07,2.1335,124.0,6.0,13.0,15.0,49.0,29.0,18.0,50.97,106.87,103.46,160.26,392.74,0.0,1e-08,2e-08,2e-08,6e-08,17.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-27T06:41:00+01:00,3.0,2.5,0.481,9e-08,2.1343,79.0,6.0,6.0,8.0,27.0,20.0,18.0,58.37,116.75,105.49,166.45,474.12,0.0,0.0,1e-08,1e-08,7e-08,-45.0,-2.0000000000000007e-08,0,0.0,WARNING
2026-03-27T06:46:00+01:00,1.8889,2.4444,0.3861,1e-07,2.0556,101.0,6.0,9.0,9.0,44.0,22.0,17.0,47.15,135.6,97.33,142.06,398.0,0.0,1e-08,2e-08,1e-08,6e-08,22.0,9.999999999999997e-09,0,0.0,ALERT
2026-03-27T06:51:00+01:00,1.3636,1.6154,0.3564,9e-08,2.1368,101.0,6.0,11.0,13.0,41.0,21.0,15.0,53.91,132.01,101.5,146.03,360.62,0.0,1e-08,2e-08,1e-08,5e-08,0.0,-9.999999999999997e-09,0,0.0,ALERT
2026-03-27T06:56:00+01:00,1.4615,1.2941,0.3333,1.1e-07,2.1227,123.0,6.0,13.0,17.0,52.0,22.0,19.0,50.26,138.63,109.18,159.39,439.48,0.0,1e-08,2e-08,1e-08,7e-08,22.0,2.0000000000000007e-08,0,0.0,ALERT
