windowStart,checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore,anomalyTier
2026-03-28T06:24:00+01:00,5.1429,3.8,0.5606,1.6e-07,2.059,132.0,6.0,7.0,10.0,41.0,38.0,36.0,56.93,111.04,99.31,155.2,392.5,0.0,0.0,2e-08,2e-08,1.2e-07,0.0,0.0,0,0.0,ALERT
2026-03-28T06:28:00+01:00,4.5556,5.2222,0.55,1.8e-07,2.0185,160.0,6.0,9.0,9.0,54.0,47.0,41.0,47.96,109.57,98.74,155.3,392.7,0.0,0.0,2e-08,3e-08,1.3e-07,28.0,1.9999999999999994e-08,0,0.0,ALERT
2026-03-28T06:33:00+01:00,3.2,3.1667,0.493,1.6e-07,2.0944,142.0,6.0,10.0,12.0,50.0,38.0,32.0,48.96,139.34,103.02,148.68,418.17,0.0,1e-08,2e-08,2e-08,1.1e-07,-18.0,-1.9999999999999994e-08,0,0.0,ALERT
2026-03-28T06:38:00+01:00,4.4,4.5455,0.5434,2.1e-07,2.039,173.0,6.0,10.0,11.0,58.0,50.0,44.0,55.95,134.66,94.17,154.1,416.37,0.0,1e-08,2e-08,3e-08,1.5e-07,31.0,5e-08,0,0.0,ALERT
2026-03-28T06:43:00+01:00,4.3333,4.0,0.4954,1.2e-07,2.0117,109.0,6.0,6.0,7.0,42.0,28.0,26.0,45.93,100.01,99.19,141.56,378.48,0.0,0.0,2e-08,2e-08,8e-08,-64.0,-9.000000000000001e-08,0,0.0,ALERT
2026-03-28T06:48:00+01:00,5.8571,4.0909,0.5513,2.1e-07,2.0231,156.0,6.0,7.0,11.0,52.0,45.0,41.0,48.86,137.0,103.77,144.48,432.78,0.0,1e-08,2e-08,3e-08,1.5e-07,47.0,9.000000000000001e-08,0,0.0,ALERT
2026-03-28T06:53:00+01:00,2.5625,2.5789,0.4569,2.1e-07,2.1209,197.0,6.0,16.0,19.0,72.0,49.0,41.0,50.05,118.56,100.06,137.9,402.97,0.0,1e-08,3e-08,3e-08,1.4e-07,41.0,0.0,0,0.0,ALERT
2026-03-28T06:58:00+01:00,3.8,3.5833,0.5031,2e-07,2.0592,161.0,6.0,10.0,12.0,58.0,43.0,38.0,48.56,112.56,105.85,151.09,412.17,0.0,1e-08,3e-08,3e-08,1.3e-07,-36.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-28T07:03:00+01:00,2.1765,2.0455,0.4162,2e-07,2.128,197.0,7.0,17.0,22.0,76.0,45.0,37.0,47.14,112.05,102.66,149.52,417.13,0.0,1e-08,3e-08,3e-08,1.3e-07,36.0,0.0,0,0.0,ALERT
2026-03-28T07:08:00+01:00,2.0,2.1429,0.407,2e-07,2.1163,199.0,7.0,18.0,21.0,79.0,45.0,36.0,51.52,116.03,100.47,154.07,427.95,0.0,1e-08,3e-08,3e-08,1.3e-07,2.0,0.0,0,0.0,ALERT
2026-03-28T07:13:00+01:00,2.75,2.45,0.5,2e-07,2.1722,186.0,7.0,16.0,20.0,57.0,49.0,44.0,50.17,133.13,101.8,152.68,390.14,0.0,1e-08,2e-08,3e-08,1.4e-07,-13.0,0.0,0,0.0,ALERT
2026-03-28T07:18:00+01:00,3.2857,3.5333,0.5025,2.2e-07,2.0837,197.0,7.0,14.0,15.0,69.0,53.0,46.0,53.86,114.87,95.56,142.29,385.97,0.0,1e-08,3e-08,3e-08,1.5e-07,11.0,2.000000000000002e-08,0,0.0,ALERT
2026-03-28T07:23:00+01:00,1.6296,1.9375,0.3813,2.4e-07,2.1174,278.0,7.0,27.0,32.0,113.0,62.0,44.0,50.12,110.16,102.4,152.08,389.48,0.0,1e-08,5e-08,4e-08,1.4e-07,81.0,1.9999999999999967e-08,0,0.0,ALERT
2026-03-28T07:28:00+01:00,1.2286,1.381,0.3206,2.7e-07,2.1039,315.0,7.0,35.0,42.0,137.0,58.0,43.0,53.09,122.62,99.76,152.37,415.12,0.0,2e-08,6e-08,4e-08,1.5e-07,37.0,3.000000000000003e-08,0,0.0,ALERT
2026-03-28T07:33:00+01:00,1.4,1.7353,0.3582,2.5e-07,2.1198,282.0,7.0,30.0,34.0,117.0,59.0,42.0,52.38,114.39,101.37,155.79,400.19,0.0,2e-08,5e-08,4e-08,1.4e-07,-33.0,-2.000000000000002e-08,0,0.0,ALERT
