windowStart,checkoutToLoginRatio,cartToSearchRatio,highMemFraction,totalEstimatedCost,invocationEntropy,totalInvocations,hour_of_day,invocations_login,invocations_search,invocations_product,invocations_cart,invocations_checkout,avgDurationMs_login,avgDurationMs_search,avgDurationMs_product,avgDurationMs_cart,avgDurationMs_checkout,estimatedCost_login,estimatedCost_search,estimatedCost_product,estimatedCost_cart,estimatedCost_checkout,deltaTotalInvocations,deltaTotalEstimatedCost,anomaly,anomalyScore,anomalyTier
2026-03-24T16:06:00+01:00,5.5385,5.0667,0.5564,3.5e-07,2.0025,266.0,16.0,13.0,15.0,90.0,76.0,72.0,50.59,122.42,103.56,156.1,415.24,0.0,1e-08,4e-08,5e-08,2.5e-07,0.0,0.0,0,0.0,ALERT
2026-03-24T16:11:00+01:00,5.4286,5.0625,0.5548,3.5e-07,2.0039,283.0,16.0,14.0,16.0,96.0,81.0,76.0,53.56,107.0,99.72,141.37,396.22,0.0,1e-08,4e-08,5e-08,2.5e-07,17.0,0.0,0,0.0,ALERT
2026-03-24T16:16:00+01:00,5.4118,4.8,0.5449,4.3e-07,2.0041,345.0,16.0,17.0,20.0,120.0,96.0,92.0,44.39,123.61,102.74,152.99,397.52,0.0,1e-08,5e-08,6e-08,3.1e-07,62.0,8.000000000000003e-08,0,0.0,ALERT
2026-03-24T16:21:00+01:00,5.1765,4.4091,0.5539,4e-07,2.0299,334.0,16.0,17.0,22.0,110.0,97.0,88.0,53.61,124.03,100.54,158.06,381.38,0.0,1e-08,5e-08,6e-08,2.8e-07,-11.0,-3.000000000000003e-08,0,0.0,ALERT
2026-03-24T16:26:00+01:00,6.1333,5.3889,0.5693,4.4e-07,1.9896,332.0,16.0,15.0,18.0,110.0,97.0,92.0,51.87,121.35,100.5,152.16,417.44,0.0,1e-08,5e-08,6e-08,3.2e-07,-2.0,4.000000000000004e-08,0,0.0,ALERT
2026-03-24T16:31:00+01:00,5.875,4.5909,0.5821,4.5e-07,2.0259,335.0,16.0,16.0,22.0,102.0,101.0,94.0,59.51,114.14,106.06,157.25,412.14,0.0,1e-08,5e-08,7e-08,3.2e-07,3.0,9.999999999999957e-09,0,0.0,ALERT
2026-03-24T16:36:00+01:00,5.9375,4.7727,0.5747,4.7e-07,2.0142,348.0,16.0,16.0,22.0,110.0,105.0,95.0,43.33,127.34,103.0,151.12,425.65,0.0,1e-08,5e-08,7e-08,3.4e-07,13.0,2.000000000000002e-08,0,0.0,ALERT
2026-03-24T16:41:00+01:00,6.3333,4.7143,0.564,4.6e-07,2.0012,344.0,16.0,15.0,21.0,114.0,99.0,95.0,48.21,124.28,101.31,158.18,415.07,0.0,1e-08,5e-08,7e-08,3.3e-07,-4.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T16:46:00+01:00,4.7895,4.2174,0.5208,4.4e-07,2.0179,361.0,16.0,19.0,23.0,131.0,97.0,91.0,48.43,133.7,103.57,155.96,402.22,0.0,1e-08,6e-08,6e-08,3.1e-07,17.0,-1.9999999999999967e-08,0,0.0,ALERT
2026-03-24T16:51:00+01:00,5.1,5.1905,0.5703,4.6e-07,2.0202,370.0,16.0,20.0,21.0,118.0,109.0,102.0,50.59,104.33,101.77,159.54,390.01,0.0,1e-08,5e-08,7e-08,3.3e-07,9.0,1.9999999999999967e-08,0,0.0,ALERT
2026-03-24T16:56:00+01:00,5.0,4.7619,0.5572,4.4e-07,2.0254,341.0,16.0,18.0,21.0,112.0,100.0,90.0,59.17,106.54,100.74,156.64,410.94,0.0,1e-08,5e-08,7e-08,3.1e-07,-29.0,-1.9999999999999967e-08,0,0.0,ALERT
2026-03-24T17:01:00+01:00,6.6,4.9545,0.581,4.6e-07,1.9994,358.0,17.0,15.0,22.0,113.0,109.0,99.0,46.73,114.63,103.58,150.17,396.66,0.0,1e-08,5e-08,7e-08,3.3e-07,17.0,1.9999999999999967e-08,0,0.0,ALERT
2026-03-24T17:06:00+01:00,4.4286,4.1154,0.551,4.4e-07,2.059,363.0,17.0,21.0,26.0,116.0,107.0,93.0,54.27,114.76,100.63,143.96,410.99,0.0,1e-08,5e-08,6e-08,3.2e-07,5.0,-1.9999999999999967e-08,0,0.0,ALERT
2026-03-24T17:11:00+01:00,2.6053,2.8571,0.4679,4.9e-07,2.1144,468.0,17.0,38.0,42.0,169.0,120.0,99.0,50.42,116.17,99.07,149.12,399.26,0.0,2e-08,7e-08,7e-08,3.3e-07,105.0,4.9999999999999945e-08,0,0.0,ALERT
2026-03-24T17:16:00+01:00,2.4737,2.5435,0.4509,4.8e-07,2.119,468.0,17.0,38.0,46.0,173.0,117.0,94.0,50.7,132.78,97.04,149.57,396.36,0.0,3e-08,7e-08,7e-08,3.1e-07,0.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T17:21:00+01:00,2.425,2.6304,0.4395,5.3e-07,2.0981,496.0,17.0,40.0,46.0,192.0,121.0,97.0,51.91,118.73,102.94,149.01,433.11,0.0,2e-08,8e-08,8e-08,3.5e-07,28.0,5.000000000000005e-08,0,0.0,ALERT
2026-03-24T17:26:00+01:00,2.4634,2.6136,0.4528,5e-07,2.1212,477.0,17.0,41.0,44.0,176.0,115.0,101.0,50.8,123.97,103.17,150.06,389.54,0.0,2e-08,8e-08,7e-08,3.3e-07,-19.0,-3.000000000000003e-08,0,0.0,ALERT
2026-03-24T17:31:00+01:00,2.2143,2.3542,0.4346,4.6e-07,2.1291,474.0,17.0,42.0,48.0,178.0,113.0,93.0,52.3,115.37,97.63,147.97,383.97,0.0,2e-08,7e-08,7e-08,3e-07,-3.0,-3.999999999999999e-08,0,0.0,ALERT
2026-03-24T17:36:00+01:00,2.4615,2.4222,0.4428,4.7e-07,2.12,463.0,17.0,39.0,45.0,174.0,109.0,96.0,48.67,125.91,101.43,156.4,392.76,0.0,2e-08,7e-08,7e-08,3.1e-07,-11.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T17:41:00+01:00,2.4146,2.28,0.4347,5.1e-07,2.1216,490.0,17.0,41.0,50.0,186.0,114.0,99.0,51.46,129.15,99.12,155.13,402.03,0.0,3e-08,8e-08,7e-08,3.3e-07,27.0,3.999999999999999e-08,0,0.0,ALERT
2026-03-24T17:46:00+01:00,2.6053,2.6744,0.4534,5e-07,2.1071,472.0,17.0,38.0,43.0,177.0,115.0,99.0,48.65,115.79,103.98,152.92,401.91,0.0,2e-08,8e-08,7e-08,3.3e-07,-18.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T17:51:00+01:00,2.5278,2.725,0.4464,4.6e-07,2.097,448.0,17.0,36.0,40.0,172.0,109.0,91.0,51.41,126.44,105.44,139.3,392.13,0.0,2e-08,8e-08,6e-08,3e-07,-24.0,-3.999999999999999e-08,0,0.0,ALERT
2026-03-24T17:56:00+01:00,2.55,2.6304,0.4542,5.1e-07,2.1144,491.0,17.0,40.0,46.0,182.0,121.0,102.0,56.93,116.48,99.73,149.84,390.59,0.0,2e-08,8e-08,8e-08,3.3e-07,43.0,5e-08,0,0.0,ALERT
2026-03-24T18:01:00+01:00,2.3415,2.4681,0.4344,5.1e-07,2.1097,488.0,18.0,41.0,47.0,188.0,116.0,96.0,48.45,128.91,100.69,152.15,409.83,0.0,3e-08,8e-08,7e-08,3.3e-07,-3.0,0.0,0,0.0,ALERT
2026-03-24T18:06:00+01:00,2.2927,2.3043,0.4301,4.7e-07,2.1219,465.0,18.0,41.0,46.0,178.0,106.0,94.0,51.84,129.48,98.38,155.91,399.8,0.0,2e-08,7e-08,7e-08,3.1e-07,-23.0,-3.999999999999999e-08,0,0.0,ALERT
2026-03-24T18:11:00+01:00,1.8704,2.1311,0.3997,5.6e-07,2.1144,578.0,18.0,54.0,61.0,232.0,130.0,101.0,49.71,115.48,103.77,153.89,402.94,1e-08,3e-08,1e-07,8e-08,3.4e-07,113.0,9.000000000000004e-08,0,0.0,ALERT
2026-03-24T18:16:00+01:00,1.7018,1.9206,0.3872,5.3e-07,2.1307,563.0,18.0,57.0,63.0,225.0,121.0,97.0,54.98,123.31,103.67,156.35,383.94,1e-08,3e-08,1e-07,8e-08,3.1e-07,-15.0,-3.000000000000003e-08,0,0.0,ALERT
2026-03-24T18:21:00+01:00,1.7966,1.863,0.402,6e-07,2.1541,602.0,18.0,59.0,73.0,228.0,136.0,106.0,56.22,118.69,100.52,156.72,401.59,1e-08,4e-08,1e-07,9e-08,3.6e-07,39.0,6.999999999999997e-08,0,0.0,ALERT
2026-03-24T18:26:00+01:00,1.8519,1.9104,0.3931,5.8e-07,2.1259,580.0,18.0,54.0,67.0,231.0,128.0,100.0,50.85,128.87,102.91,152.89,415.15,1e-08,4e-08,1e-07,8e-08,3.5e-07,-22.0,-2.000000000000002e-08,0,0.0,ALERT
2026-03-24T18:31:00+01:00,1.6667,2.0154,0.3935,5.7e-07,2.1352,587.0,18.0,60.0,65.0,231.0,131.0,100.0,50.1,116.6,104.06,156.15,412.96,1e-08,3e-08,1e-07,9e-08,3.4e-07,7.0,-9.999999999999904e-09,0,0.0,ALERT
2026-03-24T18:36:00+01:00,1.5645,1.7143,0.3767,5.5e-07,2.1493,576.0,18.0,62.0,70.0,227.0,120.0,97.0,53.15,129.44,102.11,153.13,396.1,1e-08,4e-08,1e-07,8e-08,3.2e-07,-11.0,-2.000000000000002e-08,0,0.0,ALERT
2026-03-24T18:41:00+01:00,1.6825,1.7945,0.3847,5.9e-07,2.1423,616.0,18.0,63.0,73.0,243.0,131.0,106.0,52.95,116.98,105.44,154.73,394.07,1e-08,4e-08,1.1e-07,8e-08,3.5e-07,40.0,3.9999999999999935e-08,0,0.0,ALERT
2026-03-24T18:46:00+01:00,1.7222,1.7206,0.3791,5e-07,2.1335,554.0,18.0,54.0,68.0,222.0,117.0,93.0,49.61,121.88,100.34,148.09,387.54,1e-08,3e-08,9e-08,7e-08,3e-07,-62.0,-8.999999999999999e-08,0,0.0,ALERT
2026-03-24T18:51:00+01:00,1.9388,1.7812,0.3885,5.1e-07,2.1249,538.0,18.0,49.0,64.0,216.0,114.0,95.0,49.51,123.98,99.9,149.4,386.34,1e-08,3e-08,9e-08,7e-08,3.1e-07,-16.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T18:56:00+01:00,1.86,2.0,0.4082,5e-07,2.1464,512.0,18.0,50.0,58.0,195.0,116.0,93.0,52.77,130.66,100.92,154.74,397.36,1e-08,3e-08,8e-08,7e-08,3.1e-07,-26.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T19:01:00+01:00,2.0,2.0943,0.4108,5e-07,2.1306,499.0,19.0,47.0,53.0,194.0,111.0,94.0,53.28,124.53,104.09,154.39,396.97,1e-08,3e-08,8e-08,7e-08,3.1e-07,-13.0,0.0,0,0.0,ALERT
2026-03-24T19:06:00+01:00,1.8077,2.0862,0.4026,5.1e-07,2.1312,534.0,19.0,52.0,58.0,209.0,121.0,94.0,52.49,111.04,97.34,154.18,392.3,1e-08,3e-08,8e-08,8e-08,3.1e-07,35.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T19:11:00+01:00,1.4706,1.641,0.3719,5.8e-07,2.1588,613.0,19.0,68.0,78.0,239.0,128.0,100.0,51.61,111.6,98.67,149.98,425.07,1e-08,4e-08,1e-07,8e-08,3.5e-07,79.0,6.999999999999997e-08,0,0.0,ALERT
2026-03-24T19:16:00+01:00,1.6,1.8551,0.3771,5.6e-07,2.125,594.0,19.0,60.0,69.0,241.0,128.0,96.0,53.28,121.51,103.9,148.12,405.88,1e-08,4e-08,1e-07,8e-08,3.3e-07,-19.0,-1.9999999999999914e-08,0,0.0,ALERT
2026-03-24T19:21:00+01:00,1.5075,1.9,0.3691,5.8e-07,2.115,634.0,19.0,67.0,70.0,263.0,133.0,101.0,47.78,126.65,101.98,149.4,405.76,1e-08,4e-08,1.1e-07,8e-08,3.4e-07,40.0,1.9999999999999914e-08,0,0.0,ALERT
2026-03-24T19:26:00+01:00,1.4583,1.5341,0.3609,5.9e-07,2.1498,665.0,19.0,72.0,88.0,265.0,135.0,105.0,55.68,114.57,99.05,149.39,397.06,1e-08,4e-08,1.1e-07,8e-08,3.5e-07,31.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T19:31:00+01:00,1.7414,1.8116,0.3837,5.6e-07,2.1312,589.0,19.0,58.0,69.0,236.0,125.0,101.0,55.91,117.42,100.62,155.46,400.84,1e-08,3e-08,1e-07,8e-08,3.4e-07,-76.0,-2.9999999999999925e-08,0,0.0,ALERT
2026-03-24T19:36:00+01:00,1.3611,1.5814,0.3578,5.6e-07,2.1455,654.0,19.0,72.0,86.0,262.0,136.0,98.0,52.24,111.84,100.78,143.05,387.92,1e-08,4e-08,1.1e-07,8e-08,3.2e-07,65.0,0.0,0,0.0,ALERT
2026-03-24T19:41:00+01:00,1.6909,2.0,0.3779,5.2e-07,2.1006,569.0,19.0,55.0,61.0,238.0,122.0,93.0,54.37,111.9,101.19,148.98,388.22,1e-08,3e-08,1e-07,8e-08,3e-07,-85.0,-4.000000000000004e-08,0,0.0,ALERT
2026-03-24T19:46:00+01:00,1.6393,1.7273,0.377,5.8e-07,2.1351,618.0,19.0,61.0,77.0,247.0,133.0,100.0,53.2,120.03,102.95,147.37,404.62,1e-08,4e-08,1.1e-07,8e-08,3.4e-07,49.0,5.999999999999995e-08,0,0.0,ALERT
2026-03-24T19:51:00+01:00,1.507,1.6429,0.3673,6.1e-07,2.143,667.0,19.0,71.0,84.0,267.0,138.0,107.0,55.16,121.93,101.05,147.64,402.78,1e-08,4e-08,1.1e-07,9e-08,3.6e-07,49.0,3.000000000000003e-08,0,0.0,ALERT
2026-03-24T19:56:00+01:00,1.5323,1.7013,0.3633,5.6e-07,2.1189,622.0,19.0,62.0,77.0,257.0,131.0,95.0,51.65,122.86,100.32,144.73,405.05,1e-08,4e-08,1.1e-07,8e-08,3.2e-07,-45.0,-4.9999999999999945e-08,0,0.0,ALERT
2026-03-24T20:01:00+01:00,1.8305,2.1045,0.401,6.1e-07,2.1229,621.0,20.0,59.0,67.0,246.0,141.0,108.0,51.62,128.22,102.01,150.57,407.48,1e-08,4e-08,1e-07,9e-08,3.7e-07,-1.0,4.9999999999999945e-08,0,0.0,ALERT
2026-03-24T20:06:00+01:00,1.6935,1.8857,0.3835,5.7e-07,2.1273,618.0,20.0,62.0,70.0,249.0,132.0,105.0,51.75,118.68,103.31,150.87,391.03,1e-08,3e-08,1.1e-07,8e-08,3.4e-07,-3.0,-3.9999999999999935e-08,0,0.0,ALERT
2026-03-24T20:11:00+01:00,1.2588,1.433,0.3398,6.2e-07,2.1437,724.0,20.0,85.0,97.0,296.0,139.0,107.0,49.36,123.39,100.15,156.57,388.48,1e-08,5e-08,1.2e-07,9e-08,3.5e-07,106.0,4.9999999999999945e-08,0,0.0,ALERT
2026-03-24T20:16:00+01:00,1.3289,1.3878,0.3511,5.9e-07,2.1644,675.0,20.0,76.0,98.0,264.0,136.0,101.0,50.29,125.32,103.89,149.29,404.6,1e-08,5e-08,1.1e-07,8e-08,3.4e-07,-49.0,-3.000000000000003e-08,0,0.0,ALERT
2026-03-24T20:21:00+01:00,1.1237,1.3519,0.3261,6.5e-07,2.1434,782.0,20.0,97.0,108.0,322.0,146.0,109.0,53.25,122.17,100.16,149.4,398.07,1e-08,6e-08,1.3e-07,9e-08,3.6e-07,107.0,6.000000000000006e-08,0,0.0,ALERT
2026-03-24T20:26:00+01:00,1.1099,1.4667,0.318,6.6e-07,2.0956,802.0,20.0,91.0,105.0,351.0,154.0,101.0,48.39,120.94,100.49,150.92,412.91,1e-08,5e-08,1.5e-07,1e-07,3.5e-07,20.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T20:31:00+01:00,1.0286,1.3033,0.3156,6.7e-07,2.1352,846.0,20.0,105.0,122.0,352.0,159.0,108.0,50.29,115.86,104.6,153.51,392.85,1e-08,6e-08,1.5e-07,1e-07,3.5e-07,44.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T20:36:00+01:00,0.8696,1.1151,0.284,6.6e-07,2.1093,898.0,20.0,115.0,139.0,389.0,155.0,100.0,51.05,121.25,100.83,150.72,384.68,1e-08,7e-08,1.6e-07,1e-07,3.2e-07,52.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T20:41:00+01:00,0.913,1.1324,0.2865,6.9e-07,2.1075,904.0,20.0,115.0,136.0,394.0,154.0,105.0,53.72,123.15,100.47,146.58,399.82,1e-08,7e-08,1.7e-07,9e-08,3.5e-07,6.0,2.9999999999999925e-08,0,0.0,ALERT
2026-03-24T20:46:00+01:00,0.8254,1.047,0.2689,7.2e-07,2.0888,967.0,20.0,126.0,149.0,432.0,156.0,104.0,52.21,123.06,100.98,154.94,400.27,1e-08,8e-08,1.8e-07,1e-07,3.5e-07,63.0,3.000000000000003e-08,0,0.0,ALERT
2026-03-24T20:51:00+01:00,0.8189,1.0199,0.2685,7.5e-07,2.0964,961.0,20.0,127.0,151.0,425.0,154.0,104.0,46.6,123.53,102.54,150.53,443.19,1e-08,8e-08,1.8e-07,1e-07,3.8e-07,-6.0,3.000000000000003e-08,0,0.0,ALERT
2026-03-24T20:56:00+01:00,0.7519,1.0658,0.2678,7.1e-07,2.0926,967.0,20.0,129.0,152.0,427.0,162.0,97.0,53.06,123.3,99.89,150.78,414.2,1e-08,8e-08,1.8e-07,1e-07,3.4e-07,6.0,-4.000000000000004e-08,0,0.0,ALERT
2026-03-24T21:01:00+01:00,1.0833,1.3009,0.3169,6.4e-07,2.1312,792.0,21.0,96.0,113.0,332.0,147.0,104.0,51.43,125.57,100.5,149.18,396.8,1e-08,6e-08,1.4e-07,9e-08,3.4e-07,-175.0,-6.999999999999997e-08,0,0.0,ALERT
2026-03-24T21:06:00+01:00,0.9057,1.2661,0.2908,6.5e-07,2.0872,870.0,21.0,106.0,124.0,387.0,157.0,96.0,50.09,113.97,101.48,154.25,394.74,1e-08,6e-08,1.6e-07,1e-07,3.2e-07,78.0,1.000000000000001e-08,0,0.0,ALERT
2026-03-24T21:11:00+01:00,0.8761,1.2713,0.2952,6.8e-07,2.1059,891.0,21.0,113.0,129.0,386.0,164.0,99.0,51.11,123.53,101.71,155.02,398.48,1e-08,7e-08,1.6e-07,1.1e-07,3.3e-07,21.0,2.9999999999999925e-08,0,0.0,ALERT
2026-03-24T21:16:00+01:00,1.0857,1.3772,0.3066,7.1e-07,2.0897,884.0,21.0,105.0,114.0,394.0,157.0,114.0,53.5,119.25,100.84,153.84,388.12,1e-08,6e-08,1.7e-07,1e-07,3.7e-07,-7.0,3.000000000000003e-08,0,0.0,ALERT
2026-03-24T21:21:00+01:00,0.8583,1.0811,0.2786,7e-07,2.1019,944.0,21.0,120.0,148.0,413.0,160.0,103.0,49.88,119.21,103.69,149.06,390.56,1e-08,7e-08,1.8e-07,1e-07,3.4e-07,60.0,-1.000000000000001e-08,0,0.0,ALERT
2026-03-24T21:26:00+01:00,0.9633,1.1985,0.3047,6.8e-07,2.1359,860.0,21.0,109.0,131.0,358.0,157.0,105.0,47.52,122.91,100.6,153.31,403.16,1e-08,7e-08,1.5e-07,1e-07,3.5e-07,-84.0,-2.000000000000002e-08,0,0.0,ALERT
2026-03-24T21:31:00+01:00,0.8898,1.1049,0.2942,7.1e-07,2.1401,894.0,21.0,118.0,143.0,370.0,158.0,105.0,53.15,117.7,101.35,156.51,424.17,1e-08,7e-08,1.6e-07,1e-07,3.7e-07,34.0,3.000000000000003e-08,0,0.0,ALERT
